room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
15109337,1289,30246836,Shared room,,Washington,,U Street Corridor,5,5.0,2,1.0,,38.0,,2017-05-11 09:38:42.057469,38.915687,-77.037862,0101000020E6100000B7F0BC546C4253C0A92F4B3B35754340
9029792,1289,33663697,Shared room,,Washington,,Foggy Bottom,0,0.0,1,1.0,,40.0,,2017-05-11 09:38:42.040587,38.895472,-77.051212,0101000020E61000006B4AB20E474353C0EA3D95D39E724340
7648940,1289,26557715,Shared room,,Washington,,Catholic University-Brookland,2,0.0,2,1.0,,35.0,,2017-05-11 09:38:42.037908,38.94593,-76.979957,0101000020E61000001F9F909DB73E53C01327F73B14794340
2969279,1289,15150056,Shared room,,Washington,,Catholic University-Brookland,10,4.5,4,1.0,,29.0,,2017-05-11 09:38:42.032144,38.950937,-76.988125,0101000020E61000000AD7A3703D3F53C037C7B94DB8794340
17571795,1289,72953247,Shared room,,Washington,,Adams Morgan,0,0.0,1,1.0,,30.0,,2017-05-11 09:38:40.471459,38.921293,-77.038369,0101000020E6100000890B40A3744253C05184D4EDEC754340
9937847,1289,51009383,Shared room,,Washington,,Shaw,8,4.0,6,1.0,,40.0,,2017-05-11 09:38:40.466529,38.910341,-77.025497,0101000020E61000005A492BBEA14153C09E9ACB0D86744340
11574742,1289,27353,Shared room,,Washington,,Anacostia,4,4.0,1,1.0,,15.0,,2017-05-11 09:38:40.461471,38.876418,-76.963483,0101000020E610000020D099B4A93D53C018D00B772E704340
14816846,1289,25736319,Shared room,,Washington,,Capitol Hill,2,0.0,9,1.0,,37.0,,2017-05-11 09:38:40.458600,38.900139,-76.984995,0101000020E61000004EEE77280A3F53C0556D37C137734340
2476,1289,2723,Shared room,,Washington,,Shaw,31,4.5,1,1.0,,36.0,,2017-05-11 09:38:40.456030,38.915039,-77.023798,0101000020E610000074ED0BE8854153C043C879FF1F754340
17814136,1289,121773700,Shared room,,Washington,,Fort Totten-Upper Northeast,1,0.0,6,1.0,,28.0,,2017-05-11 09:38:40.453878,38.975799,-77.016122,0101000020E6100000C0AF9124084153C0193C4CFBE67C4340
14859618,1289,25736319,Shared room,,Washington,,Capitol Hill,6,3.5,9,1.0,,37.0,,2017-05-11 09:38:40.451064,38.900073,-76.985037,0101000020E61000006616A1D80A3F53C09D81919735734340
15021486,1289,94817399,Shared room,,Washington,,Chevy Chase,10,5.0,1,1.0,,25.0,,2017-05-11 09:38:40.448801,38.951837,-77.068975,0101000020E6100000764F1E166A4453C0B60F79CBD5794340
9512966,1289,15519236,Shared room,,Washington,,Adams Morgan,4,4.5,1,1.0,,35.0,,2017-05-11 09:38:40.444456,38.922151,-77.037932,0101000020E610000033DE567A6D4253C0A27C410B09764340
12369806,1289,66517588,Shared room,,Washington,,Brentwood,0,0.0,1,1.0,,28.0,,2017-05-11 09:38:40.440082,38.923828,-77.001391,0101000020E61000008FE046CA164053C08690F3FE3F764340
14102863,1289,51000921,Shared room,,Washington,,Adams Morgan,0,0.0,1,1.0,,40.0,,2017-05-11 09:38:40.436792,38.91568,-77.0462,0101000020E6100000D044D8F0F44253C0F7CC920035754340
9938364,1289,51009383,Shared room,,Washington,,Shaw,16,4.0,4,1.0,,36.0,,2017-05-11 09:38:39.133862,38.910112,-77.023164,0101000020E6100000739CDB847B4153C03CD9CD8C7E744340
17160158,1289,21831483,Shared room,,Washington,,Chevy Chase,11,5.0,2,1.0,,30.0,,2017-05-11 09:38:39.118012,38.957163,-77.072466,0101000020E61000009B046F48A34453C07BF83251847A4340
9937541,1289,51009383,Shared room,,Washington,,Shaw,20,4.0,8,1.0,,28.0,,2017-05-11 09:38:39.115085,38.910171,-77.023373,0101000020E610000001A777F17E4153C04162BB7B80744340
14163003,1289,24728904,Shared room,,Washington,,Brentwood,15,4.5,1,1.0,,40.0,,2017-05-11 09:38:39.108529,38.916862,-77.008239,0101000020E610000050E3DEFC864053C0FB78E8BB5B754340
9138500,1289,41957380,Shared room,,Washington,,Catholic University-Brookland,4,5.0,1,1.0,,35.0,,2017-05-11 09:38:39.105213,38.931154,-76.997961,0101000020E6100000BE6BD097DE3F53C011C5E40D30774340
