room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
12070982,1047,61362641,Shared room,,Washington,,Brentwood,45,5.0,4,1.0,,108.0,,2017-04-09 05:12:19.194350,38.910411,-77.003473,0101000020E6100000D15AD1E6384053C09775FF5888744340
6627397,1047,1918629,Shared room,,Washington,,Petworth,1,0.0,2,1.0,,85.0,,2017-04-09 05:12:17.872220,38.94004,-77.025654,0101000020E6100000BEC0AC50A44153C04777103B53784340
12422935,1047,61362641,Shared room,,Washington,,Brentwood,23,4.5,2,1.0,,88.0,,2017-04-09 05:12:16.585541,38.910565,-77.002952,0101000020E61000004CDD955D304053C0EDF0D7648D744340
12123195,1047,8611126,Shared room,,Washington,,Dupont Circle,1,0.0,2,1.0,,75.0,,2017-04-09 05:12:15.652550,38.911315,-77.047309,0101000020E61000009DF3531C074353C058AD4CF8A5744340
14859618,1047,25736319,Shared room,,Washington,,Capitol Hill,5,3.5,9,1.0,,74.0,,2017-04-09 05:12:14.508041,38.900073,-76.985037,0101000020E61000006616A1D80A3F53C09D81919735734340
11337494,1047,51009383,Shared room,,Washington,,Shaw,16,4.5,4,1.0,,80.0,,2017-04-09 05:12:14.505326,38.908471,-77.023392,0101000020E61000003CBF28417F4153C0A52E19C748744340
3822015,1047,19143862,Shared room,,Washington,,Ledroit Park,3,2.5,2,1.0,,75.0,,2017-04-09 05:12:14.502397,38.917071,-77.015364,0101000020E61000004A6249B9FB4053C0158E209562754340
14470283,1047,87621807,Shared room,,Washington,,Capitol Hill,4,5.0,2,1.0,,65.0,,2017-04-09 05:12:14.488011,38.890951,-76.990228,0101000020E610000058E542E55F3F53C054ABAFAE0A724340
12322663,1047,66482562,Shared room,,Washington,,Chevy Chase,9,4.5,2,1.0,,70.0,,2017-04-09 05:12:12.935507,38.9533,-77.068567,0101000020E61000006EA5D766634453C06EA301BC057A4340
12307785,1047,61362641,Shared room,,Washington,,Brentwood,49,5.0,4,1.0,,78.0,,2017-04-09 05:12:12.925535,38.910202,-77.00281,0101000020E61000008386FE092E4053C07C60C77F81744340
13878076,1047,2387207,Shared room,,Washington,,Cleveland Park,1,0.0,2,1.0,,50.0,,2017-04-09 05:12:11.925501,38.935485,-77.059807,0101000020E61000009A44BDE0D34353C00473F4F8BD774340
14505814,1047,71265139,Shared room,,Washington,,Anacostia,4,3.5,2,1.0,,45.0,,2017-04-09 05:12:10.619318,38.870246,-76.941441,0101000020E61000004487C091403C53C0C7BC8E38646F4340
17160158,1047,21831483,Shared room,,Washington,,Chevy Chase,6,5.0,2,1.0,,45.0,,2017-04-09 05:12:10.607306,38.957163,-77.072466,0101000020E61000009B046F48A34453C07BF83251847A4340
10416451,1047,27353,Shared room,,Washington,,Anacostia,27,4.0,16,1.0,,30.0,,2017-04-09 05:12:09.246819,38.876158,-76.9628,0101000020E6100000AF25E4839E3D53C07B1002F225704340
15984634,1047,27353,Shared room,,Washington,,Anacostia,12,4.0,16,1.0,,22.0,,2017-04-09 05:12:09.244701,38.876514,-76.964267,0101000020E61000002C67EF8CB63D53C03A3E5A9C31704340
16080435,1047,94251726,Shared room,,Washington,,Anacostia,8,3.0,4,1.0,,38.0,,2017-04-09 05:12:09.229896,38.886641,-76.936182,0101000020E6100000A646E867EA3B53C07825C9737D714340
15374411,1047,93018506,Shared room,,Washington,,Anacostia,2,0.0,2,1.0,,23.0,,2017-04-09 05:12:09.225972,38.879476,-76.930986,0101000020E61000002BC24D46953B53C0F6CE68AB92704340
9291840,1047,27353,Shared room,,Washington,,Anacostia,40,4.5,4,1.0,,30.0,,2017-04-09 05:12:09.218762,38.874873,-76.962567,0101000020E61000005E4D9EB29A3D53C0A393A5D6FB6F4340
15834499,1047,32848612,Shared room,,Washington,,Dupont Circle,0,0.0,4,1.0,,500.0,,2017-04-09 05:12:07.920871,38.909118,-77.046943,0101000020E6100000AC71361D014353C03B1A87FA5D744340
16396028,1047,14136125,Shared room,,Washington,,Capitol Hill,0,0.0,6,1.0,,400.0,,2017-04-09 05:12:07.918265,38.883335,-77.003745,0101000020E61000008121AB5B3D4053C0C2340C1F11714340
16916110,1047,3662033,Shared room,,Washington,,Columbia Heights,2,0.0,14,1.0,,450.0,,2017-04-09 05:12:07.916198,38.924071,-77.035521,0101000020E61000008F54DFF9454253C04C1762F547764340
8404684,1047,39026415,Shared room,,Washington,,Catholic University-Brookland,0,0.0,4,1.0,,480.0,,2017-04-09 05:12:07.910681,38.928188,-77.005823,0101000020E610000023A46E675F4053C0134548DDCE764340
16689918,1047,110509429,Shared room,,Washington,,Foggy Bottom,0,0.0,4,1.0,,250.0,,2017-04-09 05:12:06.857679,38.898468,-77.051849,0101000020E610000024D5777E514353C05340DAFF00734340
4968471,1047,377015,Shared room,,Washington,,Capitol Hill,32,5.0,2,1.0,,199.0,,2017-04-09 05:12:05.988111,38.898007,-77.001127,0101000020E61000002009FB76124053C01F4AB4E4F1724340
16381884,1047,4899923,Shared room,,Washington,,Catholic University-Brookland,1,0.0,4,1.0,,200.0,,2017-04-09 05:12:05.985829,38.938313,-77.019701,0101000020E6100000B4ACFBC7424153C0B134F0A31A784340
16846359,1047,41554129,Shared room,,Washington,,Shaw,0,0.0,2,1.0,,150.0,,2017-04-09 05:12:05.185654,38.911142,-77.017533,0101000020E61000007366BB421F4153C08A01124DA0744340
18094159,1047,124619252,Shared room,,Washington,,Capitol Hill,0,0.0,1,1.0,,150.0,,2017-04-09 05:12:05.181065,38.884128,-76.98432,0101000020E61000001E335019FF3E53C02BBD361B2B714340
11574642,1047,27353,Shared room,,Washington,,Anacostia,22,3.5,16,1.0,,125.0,,2017-04-09 05:12:03.826724,38.876157,-76.963657,0101000020E6100000EFE3688EAC3D53C0AB949EE925704340
15495164,1047,27353,Shared room,,Washington,,Catholic University-Brookland,0,0.0,4,1.0,,125.0,,2017-04-09 05:12:03.824526,38.935953,-76.982421,0101000020E6100000D57954FCDF3E53C0EACBD24ECD774340
12902969,1047,16459170,Shared room,,Washington,,Capitol Hill,0,0.0,1,1.0,,140.0,,2017-04-09 05:12:03.819457,38.901511,-77.002567,0101000020E61000002043C70E2A4053C0FCFD62B664734340
16710786,1047,109813481,Shared room,,Washington,,Stadium-Armory,2,0.0,3,1.0,,125.0,,2017-04-09 05:12:03.817054,38.8964,-76.983045,0101000020E6100000C45F9335EA3E53C03411363CBD724340
9928615,1047,51037532,Shared room,,Washington,,South West,0,0.0,1,1.0,,100.0,,2017-04-09 05:12:02.524827,38.872996,-77.009306,0101000020E6100000056A3178984053C0F8C43A55BE6F4340
15758952,1047,51641568,Shared room,,Washington,,Ledroit Park,2,0.0,4,1.0,,110.0,,2017-04-09 05:12:02.516500,38.917867,-77.016281,0101000020E6100000F5A276BF0A4153C0F08975AA7C754340
16694573,1047,4143356,Shared room,,Washington,,Capitol Hill,0,0.0,2,1.0,,120.0,,2017-04-09 05:12:02.513990,38.899642,-77.003512,0101000020E61000003049658A394053C0D40D147827734340
14767042,1047,71766356,Shared room,,Washington,,Chevy Chase,1,0.0,2,1.0,,99.0,,2017-04-09 05:12:01.630312,38.952815,-77.070473,0101000020E610000011902FA1824453C0B21188D7F5794340
11695987,1047,56400628,Shared room,,Washington,,South West,0,0.0,2,1.0,,100.0,,2017-04-09 05:12:00.646574,38.874915,-77.017626,0101000020E6100000CC63CDC8204153C0D2E3F736FD6F4340
