room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
12070982,61362641,Shared room,,Brentwood,33,5.0,4,1.0,250.0,,38.910411,-77.003473,2017-01-19 09:25:10.330094
12252686,61362641,Shared room,,Brentwood,27,4.5,4,1.0,247.0,,38.910547,-77.002232,2017-01-19 09:25:10.327972
16467069,290607,Shared room,,Capitol Hill,0,0.0,2,1.0,200.0,,38.898671,-76.988515,2017-01-19 09:25:09.123688
15941800,27353,Shared room,,Anacostia,1,0.0,4,1.0,136.0,,38.875189,-76.964224,2017-01-19 09:25:06.995915
3929872,20358880,Shared room,,Foggy Bottom,18,4.5,2,1.0,120.0,,38.902936,-77.049691,2017-01-19 09:25:06.542706
12307785,61362641,Shared room,,Brentwood,48,5.0,4,1.0,88.0,,38.910202,-77.00281,2017-01-19 09:25:04.726881
14416607,86540203,Shared room,,Shaw,6,4.5,4,1.0,78.0,,38.908581,-77.005107,2017-01-19 09:25:03.439441
12112597,59820876,Shared room,,Foggy Bottom,29,5.0,2,1.0,70.0,,38.903878,-77.051629,2017-01-19 09:25:02.860133
15450025,48368187,Shared room,,Glover Park,1,0.0,2,1.0,60.0,,38.92715,-77.07348,2017-01-19 09:25:00.841437
13878076,2387207,Shared room,,Cleveland Park,1,0.0,2,1.0,50.0,,38.935485,-77.059807,2017-01-19 09:25:00.828012
13563326,64448197,Shared room,,Foggy Bottom,1,0.0,2,1.0,32.0,,38.896818,-77.052934,2017-01-19 09:24:59.100177
15834499,32848612,Shared room,,Dupont Circle,0,0.0,4,1.0,500.0,,38.909118,-77.046943,2017-01-19 09:24:58.284445
8404684,39026415,Shared room,,Catholic University-Brookland,0,0.0,4,1.0,480.0,,38.928188,-77.005823,2017-01-19 09:24:58.282021
16807554,28345209,Shared room,,South West,0,0.0,2,1.0,495.0,,38.878525,-77.016752,2017-01-19 09:24:58.277724
16396028,14136125,Shared room,,Capitol Hill,0,0.0,6,1.0,400.0,,38.883335,-77.003745,2017-01-19 09:24:58.273595
16689918,110509429,Shared room,,Foggy Bottom,0,0.0,4,1.0,400.0,,38.898468,-77.051849,2017-01-19 09:24:58.268506
16252094,82193614,Shared room,,Brentwood,0,0.0,5,1.0,250.0,,38.925098,-76.977811,2017-01-19 09:24:57.635115
16710786,109813481,Shared room,,Stadium-Armory,0,0.0,3,1.0,224.0,,38.8964,-76.983045,2017-01-19 09:24:57.632795
16755637,30668008,Shared room,,Adams Morgan,0,0.0,4,1.0,250.0,,38.923428,-77.03658,2017-01-19 09:24:57.623936
16294456,95154194,Shared room,,Brentwood,0,0.0,1,1.0,200.0,,38.911177,-77.003295,2017-01-19 09:24:57.621834
11513680,2245877,Shared room,,Capitol Hill,0,0.0,2,1.0,250.0,,38.895327,-76.998994,2017-01-19 09:24:57.611524
4968471,377015,Shared room,,Capitol Hill,32,5.0,2,1.0,199.0,,38.898007,-77.001127,2017-01-19 09:24:56.752703
16251446,82193614,Shared room,,Brentwood,0,0.0,4,1.0,200.0,,38.925767,-76.979328,2017-01-19 09:24:56.750491
16555333,62665443,Shared room,,Foggy Bottom,0,0.0,2,1.0,200.0,,38.89926,-77.052699,2017-01-19 09:24:56.748367
16648474,98207972,Shared room,,Fort Totten-Upper Northeast,0,0.0,2,1.0,150.0,,38.968667,-77.015149,2017-01-19 09:24:55.824679
16756161,290607,Shared room,,Capitol Hill,0,0.0,1,1.0,150.0,,38.898648,-76.988655,2017-01-19 09:24:55.820772
16381884,4899923,Shared room,,Catholic University-Brookland,0,0.0,4,1.0,150.0,,38.938313,-77.019701,2017-01-19 09:24:55.818324
16838894,45384230,Shared room,,Glover Park,0,0.0,3,1.0,150.0,,38.927758,-77.073311,2017-01-19 09:24:55.815536
16049215,13165562,Entire home/apt,,Glover Park,1,0.0,8,4.0,1850.0,,38.92335,-77.07346,2017-01-19 08:56:00.986764
16463117,108015560,Entire home/apt,,Au-Tenleytown,0,0.0,11,4.0,1775.0,,38.937253,-77.085221,2017-01-19 08:56:00.887402
16050831,104141045,Entire home/apt,,Capitol Hill,0,0.0,10,3.0,4950.0,,38.887022,-76.991037,2017-01-19 08:55:58.310551
16242411,53050578,Entire home/apt,,Georgetown,0,0.0,8,4.0,2000.0,,38.915159,-77.07526,2017-01-19 08:55:58.302758
15987414,35956277,Entire home/apt,,Capitol Hill,0,0.0,12,5.0,2490.0,,38.887771,-77.004933,2017-01-19 08:55:56.926205
16663348,110196064,Entire home/apt,,Capitol Hill,0,0.0,8,2.0,1950.0,,38.891415,-77.002914,2017-01-19 08:55:54.535292
16319743,7178436,Entire home/apt,,Dupont Circle,0,0.0,6,3.0,1995.0,,38.909704,-77.040058,2017-01-19 08:55:54.526169
14022330,83902998,Entire home/apt,,Logan Circle,0,0.0,5,0.0,2700.0,,38.90645,-77.031879,2017-01-19 08:55:53.240656
16619150,40802402,Entire home/apt,,Georgetown,0,0.0,8,4.0,1650.0,,38.907517,-77.059013,2017-01-19 08:55:52.049416
16741673,111053286,Entire home/apt,,The Palisades,0,0.0,8,4.0,3900.0,,38.927034,-77.106152,2017-01-19 08:55:52.041226
16243819,106194856,Entire home/apt,,Georgetown,0,0.0,6,3.0,2500.0,,38.912353,-77.069686,2017-01-19 08:55:48.921816
16709404,82205754,Entire home/apt,,Capitol Hill,0,0.0,8,4.0,3250.0,,38.892765,-76.996997,2017-01-19 08:55:47.698497
16480798,108195453,Entire home/apt,,Capitol Hill,0,0.0,6,3.0,2500.0,,38.884995,-76.990595,2017-01-19 08:55:47.689161
16838745,112093233,Entire home/apt,,Brentwood,0,0.0,10,3.0,1999.0,,38.915392,-77.003791,2017-01-19 08:55:47.683418
16805493,78933586,Entire home/apt,,Capitol Hill,0,0.0,6,3.0,1999.0,,38.904998,-76.98602,2017-01-19 08:55:46.541604
16661420,4391263,Entire home/apt,,U Street Corridor,0,0.0,4,2.0,2499.0,,38.916428,-77.031479,2017-01-19 08:55:45.684569
16671797,102139620,Entire home/apt,,Adams Morgan,0,0.0,10,5.0,5500.0,,38.918296,-77.041815,2017-01-19 08:55:44.045175
16352224,26841226,Entire home/apt,,Shaw,1,0.0,12,4.0,3450.0,,38.914967,-77.019325,2017-01-19 08:55:44.034907
16392893,107385270,Entire home/apt,,Capitol Hill,0,0.0,5,3.0,1700.0,,38.888772,-77.000942,2017-01-19 08:55:44.032742
16190361,28811474,Entire home/apt,,Brentwood,0,0.0,6,2.0,1950.0,,38.90734,-76.987477,2017-01-19 08:55:44.030324
16050016,4929041,Entire home/apt,,Woodley Park,0,0.0,8,5.0,1950.0,,38.928557,-77.057291,2017-01-19 08:55:44.026056
16766395,22362639,Entire home/apt,,Adams Morgan,0,0.0,6,2.0,1200.0,,38.921734,-77.046507,2017-01-19 08:54:55.803561
322546,1651389,Entire home/apt,,Downtown,2,0.0,6,3.0,600.0,,38.900455,-77.019019,2017-01-19 08:49:30.113622
16848000,112195215,Entire home/apt,,Adams Morgan,0,0.0,4,1.0,339.0,,38.92355,-77.042868,2017-01-19 08:44:06.097500
16838514,1131910,Entire home/apt,,Dupont Circle,0,0.0,4,1.0,160.0,,38.907726,-77.048486,2017-01-19 08:33:39.276108
15486686,99314344,Entire home/apt,,Ledroit Park,10,5.0,7,2.0,175.0,,38.916317,-77.020701,2017-01-19 08:33:37.856681
13046670,72193188,Entire home/apt,,Mount Pleasant,12,4.5,3,0.0,60.0,,38.937506,-77.037278,2017-01-19 08:23:03.796970
16725018,110875041,Entire home/apt,,Capitol Hill,0,0.0,3,2.0,73.0,,38.895511,-76.98543,2017-01-19 08:22:55.290452
11143821,3257276,Entire home/apt,,Capitol Hill,0,0.0,5,2.0,50.0,,38.90053,-76.990417,2017-01-19 08:22:51.964125
15027212,5842998,Entire home/apt,,Dupont Circle,8,5.0,4,2.0,33.0,,38.915182,-77.039787,2017-01-19 08:22:49.750839
10254748,24459644,Entire home/apt,,Deanwood,3,5.0,4,1.0,35.0,,38.891154,-76.935962,2017-01-19 08:22:49.741318
6974632,9501814,Entire home/apt,,Brentwood,1,0.0,7,3.0,2200.0,,38.917909,-77.000951,2017-01-19 08:22:48.964251
8479494,44658525,Entire home/apt,,Glover Park,10,5.0,16,7.0,1501.0,,38.925522,-77.073257,2017-01-19 08:22:48.956933
16229233,11535015,Entire home/apt,,Capitol Hill,0,0.0,8,3.0,2100.0,,38.886921,-76.986257,2017-01-19 08:22:47.556367
865732,57867,Entire home/apt,,Capitol Hill,0,0.0,6,3.0,2000.0,,38.891488,-76.989592,2017-01-19 08:22:46.058506
16164164,10138419,Entire home/apt,,Adams Morgan,0,0.0,8,5.0,2200.0,,38.921847,-77.043659,2017-01-19 08:22:46.055769
16347260,11881097,Entire home/apt,,Chevy Chase,0,0.0,7,4.0,3500.0,,38.958269,-77.074366,2017-01-19 08:22:44.482980
16212491,98835997,Entire home/apt,,Chevy Chase,0,0.0,6,1.0,1999.0,,38.94702,-77.066699,2017-01-19 08:22:44.480899
