room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
16689918,110509429,Shared room,,Foggy Bottom,0,0.0,4,1.0,250.0,,38.898468,-77.051849,2017-01-14 23:37:57.805844
12168587,61362641,Shared room,,Brentwood,19,5.0,4,1.0,228.0,,38.91209,-77.003552,2017-01-14 23:37:57.801740
16764716,39872677,Shared room,,Petworth,0,0.0,2,1.0,200.0,,38.944825,-77.038871,2017-01-14 23:37:56.487659
16381884,4899923,Shared room,,Catholic University-Brookland,0,0.0,4,1.0,200.0,,38.938313,-77.019701,2017-01-14 23:37:56.484192
3732219,280636,Shared room,,Columbia Heights,0,0.0,2,1.0,129.0,,38.931081,-77.030618,2017-01-14 23:37:54.473642
12252686,61362641,Shared room,,Brentwood,26,4.5,4,1.0,88.0,,38.910547,-77.002232,2017-01-14 23:37:51.243844
7759093,40797092,Shared room,,Catholic University-Brookland,13,4.5,2,1.0,98.0,,38.944373,-77.024549,2017-01-14 23:37:51.223141
11873129,61362641,Shared room,,Brentwood,36,5.0,4,1.0,90.0,,38.911577,-77.003882,2017-01-14 23:37:51.217187
14816846,25736319,Shared room,,Capitol Hill,2,0.0,9,1.0,74.0,,38.900139,-76.984995,2017-01-14 23:37:49.561622
12112597,59820876,Shared room,,Foggy Bottom,29,5.0,2,1.0,70.0,,38.903878,-77.051629,2017-01-14 23:37:48.720985
11342736,37920286,Shared room,,Shaw,7,3.5,8,1.0,56.0,,38.912437,-77.022817,2017-01-14 23:37:46.051951
16652552,10023295,Shared room,,Capitol Hill,0,0.0,2,1.0,50.0,,38.893612,-76.998097,2017-01-14 23:37:46.043633
13657698,66801226,Shared room,,Mount Pleasant,0,0.0,2,1.0,25.0,,38.933188,-77.03793,2017-01-14 23:37:45.122202
8404684,39026415,Shared room,,Catholic University-Brookland,0,0.0,4,1.0,480.0,,38.928188,-77.005823,2017-01-14 23:37:43.339122
16755637,30668008,Shared room,,Adams Morgan,0,0.0,4,1.0,350.0,,38.923428,-77.03658,2017-01-14 23:37:43.336836
16710786,109813481,Shared room,,Stadium-Armory,0,0.0,3,1.0,349.0,,38.8964,-76.983045,2017-01-14 23:37:43.333837
16252094,82193614,Shared room,,Brentwood,0,0.0,5,1.0,250.0,,38.925098,-76.977811,2017-01-14 23:37:41.893458
11513680,2245877,Shared room,,Capitol Hill,0,0.0,2,1.0,250.0,,38.895327,-76.998994,2017-01-14 23:37:41.881014
16251446,82193614,Shared room,,Brentwood,0,0.0,4,1.0,200.0,,38.925767,-76.979328,2017-01-14 23:37:40.634596
16561209,33151642,Shared room,,Capitol Hill,0,0.0,2,1.0,197.0,,38.905507,-76.98652,2017-01-14 23:37:40.631896
16648474,98207972,Shared room,,Fort Totten-Upper Northeast,0,0.0,2,1.0,150.0,,38.968667,-77.015149,2017-01-14 23:37:39.357082
16294456,95154194,Shared room,,Brentwood,0,0.0,1,1.0,150.0,,38.911177,-77.003295,2017-01-14 23:37:39.354819
16467069,290607,Shared room,,Capitol Hill,0,0.0,2,1.0,150.0,,38.898671,-76.988515,2017-01-14 23:37:39.352065
11574642,27353,Shared room,,Anacostia,20,4.0,16,1.0,125.0,,38.876157,-76.963657,2017-01-14 23:37:38.132352
15495164,27353,Shared room,,Catholic University-Brookland,0,0.0,4,1.0,125.0,,38.935953,-76.982421,2017-01-14 23:37:38.127879
12902969,16459170,Shared room,,Capitol Hill,0,0.0,1,1.0,140.0,,38.901511,-77.002567,2017-01-14 23:37:38.120039
1493666,7983502,Shared room,,Logan Circle,7,4.5,2,1.0,120.0,,38.907339,-77.033252,2017-01-14 23:37:36.883053
15758952,51641568,Shared room,,Ledroit Park,0,0.0,4,1.0,110.0,,38.917867,-77.016281,2017-01-14 23:37:36.874499
