room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
16899549,71875096,Shared room,,Au-Tenleytown,2,0.0,2,1.0,69.0,,38.934675,-77.082476,2017-02-17 00:43:01.090278
2051534,32067,Shared room,,Kalorama,107,5.0,1,1.0,80.0,,38.914792,-77.047386,2017-02-17 00:43:01.087268
16438473,102159854,Shared room,,Capitol Hill,0,0.0,1,1.0,76.0,,38.882979,-76.999034,2017-02-17 00:43:01.084945
9313565,5641429,Shared room,,Downtown,0,0.0,1,1.0,77.0,,38.900286,-77.017458,2017-02-17 00:43:01.082095
5570026,28827689,Shared room,,Dupont Circle,42,5.0,2,1.0,80.0,,38.907376,-77.04478,2017-02-17 00:43:01.072133
13110758,50306704,Shared room,,Capitol Hill,29,5.0,3,1.0,70.0,,38.888845,-76.983803,2017-02-17 00:43:01.067506
8306956,21382994,Shared room,,Foggy Bottom,47,5.0,1,1.0,79.0,,38.89668,-77.045827,2017-02-17 00:43:01.063521
11338057,51009383,Shared room,,Shaw,22,4.0,8,1.0,45.0,,38.910326,-77.024565,2017-02-17 00:42:59.440630
3700395,15185851,Shared room,,Deanwood,0,0.0,6,1.0,60.0,,38.8923,-76.914623,2017-02-17 00:42:59.437853
3038984,15474642,Shared room,,Chevy Chase,40,5.0,2,1.0,50.0,,38.950083,-77.068436,2017-02-17 00:42:59.434950
16931380,61362641,Shared room,,Shaw,0,0.0,4,1.0,49.0,,38.908985,-77.006368,2017-02-17 00:42:58.824929
16855224,56885621,Shared room,,Adams Morgan,0,0.0,4,1.0,44.0,,38.919477,-77.042832,2017-02-17 00:42:58.819174
7758808,40797092,Shared room,,Catholic University-Brookland,3,4.5,2,1.0,49.0,,38.945879,-77.025035,2017-02-17 00:42:58.816523
12168587,61362641,Shared room,,Brentwood,24,5.0,4,1.0,49.0,,38.91209,-77.003552,2017-02-17 00:42:58.812476
13878076,2387207,Shared room,,Cleveland Park,1,0.0,2,1.0,50.0,,38.935485,-77.059807,2017-02-17 00:42:58.810474
12252686,61362641,Shared room,,Brentwood,32,4.5,4,1.0,49.0,,38.910547,-77.002232,2017-02-17 00:42:58.807771
12744068,61362641,Shared room,,Brentwood,18,5.0,4,1.0,59.0,,38.910859,-77.002098,2017-02-17 00:42:58.805277
13397549,56885621,Shared room,,Adams Morgan,13,5.0,1,1.0,41.0,,38.921468,-77.043471,2017-02-17 00:42:58.802623
12168412,61362641,Shared room,,Brentwood,18,5.0,4,1.0,49.0,,38.912093,-77.002224,2017-02-17 00:42:58.799857
13100445,56885621,Shared room,,Adams Morgan,20,5.0,1,1.0,41.0,,38.919814,-77.04337,2017-02-17 00:42:58.797149
14470283,87621807,Shared room,,Capitol Hill,4,5.0,2,1.0,50.0,,38.890951,-76.990228,2017-02-17 00:42:58.794728
9988740,32211949,Shared room,,Cleveland Park,7,5.0,1,1.0,45.0,,38.93698,-77.054974,2017-02-17 00:42:58.791158
13168865,56885621,Shared room,,Adams Morgan,8,4.5,1,1.0,41.0,,38.919188,-77.043234,2017-02-17 00:42:58.788948
13018502,56885621,Shared room,,Adams Morgan,26,5.0,1,1.0,41.0,,38.919288,-77.042856,2017-02-17 00:42:58.785649
10965962,56885621,Shared room,,Adams Morgan,55,5.0,1,1.0,41.0,,38.919972,-77.04114,2017-02-17 00:42:57.137909
14505814,71265139,Shared room,,Anacostia,4,3.5,2,1.0,45.0,,38.870246,-76.941441,2017-02-17 00:42:57.135607
9097,6527,Shared room,,Adams Morgan,56,5.0,1,1.0,45.0,,38.92083,-77.039865,2017-02-17 00:42:57.131989
12112597,59820876,Shared room,,Foggy Bottom,31,5.0,2,1.0,55.0,,38.903878,-77.051629,2017-02-17 00:42:53.668617
