room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
14203879,1313,65841585,Shared room,,Washington,,Foggy Bottom,13,4.5,2,1.0,,100.0,,2017-06-12 04:07:20.599519,38.901032,-77.052766,0101000020E6100000CF15A584604353C022533E0455734340
18895758,1313,19143862,Shared room,,Washington,,Ledroit Park,0,0.0,4,1.0,,115.0,,2017-06-12 04:07:20.563093,38.917006,-77.015262,0101000020E6100000C8B7770DFA4053C02E1EDE7360754340
11338057,1313,51009383,Shared room,,Washington,,Shaw,22,4.0,8,1.0,,73.0,,2017-06-12 04:07:14.515610,38.910326,-77.024565,0101000020E610000014E81379924153C06859F78F85744340
9938364,1313,51009383,Shared room,,Washington,,Shaw,17,4.0,4,1.0,,72.0,,2017-06-12 04:07:12.385453,38.910112,-77.023164,0101000020E6100000739CDB847B4153C03CD9CD8C7E744340
11342617,1313,37920286,Shared room,,Washington,,Shaw,20,4.0,6,1.0,,59.0,,2017-06-12 04:07:08.166123,38.911359,-77.022705,0101000020E61000002A1DACFF734153C027F56569A7744340
13878076,1313,2387207,Shared room,,Washington,,Cleveland Park,2,0.0,2,1.0,,50.0,,2017-06-12 04:07:05.973009,38.935485,-77.059807,0101000020E61000009A44BDE0D34353C00473F4F8BD774340
7514236,1313,37920286,Shared room,,Washington,,Shaw,79,4.0,6,1.0,,46.0,,2017-06-12 04:07:05.908134,38.911918,-77.021905,0101000020E61000009CA73AE4664153C01E51A1BAB9744340
19199350,1313,18173651,Shared room,,Washington,,Cleveland Park,0,0.0,2,1.0,,50.0,,2017-06-12 04:07:05.688811,38.937061,-77.073357,0101000020E6100000B1FB8EE1B14453C0B4AD669DF1774340
15834499,1313,32848612,Shared room,,Washington,,Dupont Circle,0,0.0,4,1.0,,500.0,,2017-06-12 04:07:01.388704,38.909118,-77.046943,0101000020E6100000AC71361D014353C03B1A87FA5D744340
8404684,1313,39026415,Shared room,,Washington,,Catholic University-Brookland,0,0.0,4,1.0,,480.0,,2017-06-12 04:07:01.373485,38.928188,-77.005823,0101000020E610000023A46E675F4053C0134548DDCE764340
16396028,1313,14136125,Shared room,,Washington,,Capitol Hill,0,0.0,6,1.0,,400.0,,2017-06-12 04:07:01.317601,38.883335,-77.003745,0101000020E61000008121AB5B3D4053C0C2340C1F11714340
16689918,1313,110509429,Shared room,,Washington,,Foggy Bottom,0,0.0,4,1.0,,250.0,,2017-06-12 04:06:59.590600,38.898468,-77.051849,0101000020E610000024D5777E514353C05340DAFF00734340
16381884,1313,4899923,Shared room,,Washington,,Catholic University-Brookland,1,0.0,4,1.0,,200.0,,2017-06-12 04:06:57.928537,38.938313,-77.019701,0101000020E6100000B4ACFBC7424153C0B134F0A31A784340
16846359,1313,41554129,Shared room,,Washington,,Shaw,0,0.0,2,1.0,,150.0,,2017-06-12 04:06:56.272210,38.911142,-77.017533,0101000020E61000007366BB421F4153C08A01124DA0744340
18094159,1313,124619252,Shared room,,Washington,,Capitol Hill,1,0.0,1,1.0,,150.0,,2017-06-12 04:06:56.201893,38.884128,-76.98432,0101000020E61000001E335019FF3E53C02BBD361B2B714340
18138817,1313,425176,Shared room,,Washington,,Capitol Hill,0,0.0,2,1.0,,135.0,,2017-06-12 04:06:54.691793,38.899554,-77.003902,0101000020E6100000E5982CEE3F4053C0357EE19524734340
12902969,1313,16459170,Shared room,,Washington,,Capitol Hill,0,0.0,1,1.0,,140.0,,2017-06-12 04:06:54.689728,38.901511,-77.002567,0101000020E61000002043C70E2A4053C0FCFD62B664734340
16710786,1313,109813481,Shared room,,Washington,,Stadium-Armory,6,5.0,3,1.0,,125.0,,2017-06-12 04:06:54.668916,38.8964,-76.983045,0101000020E6100000C45F9335EA3E53C03411363CBD724340
15758952,1313,51641568,Shared room,,Washington,,Ledroit Park,3,5.0,4,1.0,,110.0,,2017-06-12 04:06:53.094668,38.917867,-77.016281,0101000020E6100000F5A276BF0A4153C0F08975AA7C754340
16694573,1313,4143356,Shared room,,Washington,,Capitol Hill,0,0.0,2,1.0,,120.0,,2017-06-12 04:06:53.015265,38.899642,-77.003512,0101000020E61000003049658A394053C0D40D147827734340
3732219,1313,280636,Shared room,,Washington,,Columbia Heights,0,0.0,3,1.0,,99.0,,2017-06-12 04:06:50.985391,38.931081,-77.030618,0101000020E6100000D02A33A5F54153C0A77686A92D774340
13057484,1313,24744291,Shared room,,Washington,,Anacostia,0,0.0,2,1.0,,85.0,,2017-06-12 04:06:50.909382,38.823408,-77.010775,0101000020E61000005227A089B04053C0E4A1EF6E65694340
12122605,1313,16357115,Shared room,,Washington,,Stadium-Armory,5,5.0,2,1.0,,100.0,,2017-06-12 04:06:48.997510,38.901568,-76.980778,0101000020E6100000B9A81611C53E53C0608F899466734340
6627397,1313,1918629,Shared room,,Washington,,Petworth,1,0.0,2,1.0,,85.0,,2017-06-12 04:06:48.947081,38.94004,-77.025654,0101000020E6100000BEC0AC50A44153C04777103B53784340
2053406,1313,8713526,Shared room,,Washington,,Adams Morgan,1,0.0,1,1.0,,100.0,,2017-06-12 04:06:48.882541,38.920609,-77.039656,0101000020E6100000C5C551B9894253C09EB30584D6754340
16619240,1313,109721676,Shared room,,Washington,,Columbia Heights,7,5.0,2,1.0,,99.0,,2017-06-12 04:06:48.858003,38.927324,-77.026806,0101000020E61000008A558330B74153C0E065868DB2764340
12344231,1313,18894668,Shared room,,Washington,,Anacostia,4,4.5,2,1.0,,85.0,,2017-06-12 04:06:48.855051,38.874703,-76.974083,0101000020E6100000BB253960573E53C0465B9544F66F4340
11721669,1313,62335056,Shared room,,Washington,,Logan Circle,0,0.0,1,1.0,,100.0,,2017-06-12 04:06:48.837157,38.906754,-77.033775,0101000020E6100000091B9E5E294253C033C2DB8310744340
14834962,1313,71875096,Shared room,,Washington,,Au-Tenleytown,33,4.5,2,1.0,,89.0,,2017-06-12 04:06:48.820519,38.932339,-77.08287,0101000020E610000073F4F8BD4D4553C086E464E256774340
6018665,1313,31241627,Shared room,,Washington,,Columbia Heights,5,5.0,1,1.0,,85.0,,2017-06-12 04:06:48.778615,38.924663,-77.031015,0101000020E6100000DEAB5626FC4153C01F69705B5B764340
3700395,1313,15185851,Shared room,,Washington,,Deanwood,0,0.0,6,1.0,,60.0,,2017-06-12 04:06:46.662194,38.8923,-76.914623,0101000020E6100000D84AE82E893A53C0431CEBE236724340
14274761,1313,87051857,Shared room,,Washington,,Brentwood,0,0.0,2,1.0,,80.0,,2017-06-12 04:06:46.609929,38.914967,-77.008799,0101000020E6100000334FAE29904053C0A9F57EA31D754340
3822015,1313,19143862,Shared room,,Washington,,Ledroit Park,3,2.5,2,1.0,,80.0,,2017-06-12 04:06:44.795439,38.917071,-77.015364,0101000020E61000004A6249B9FB4053C0158E209562754340
12123195,1313,8611126,Shared room,,Washington,,Dupont Circle,1,0.0,2,1.0,,75.0,,2017-06-12 04:06:44.776501,38.911315,-77.047309,0101000020E61000009DF3531C074353C058AD4CF8A5744340
5535629,1313,5066846,Shared room,,Washington,,Brentwood,4,5.0,1,1.0,,75.0,,2017-06-12 04:06:44.745268,38.920916,-77.003478,0101000020E61000005A10CAFB384053C07B2E5393E0754340
22453,1313,32067,Shared room,,Washington,,Logan Circle,79,5.0,1,1.0,,70.0,,2017-06-12 04:06:44.730343,38.909327,-77.034845,0101000020E610000077DB85E63A4253C0552FBFD364744340
12249312,1313,16567264,Shared room,,Washington,,Foggy Bottom,0,0.0,2,1.0,,70.0,,2017-06-12 04:06:44.691684,38.902197,-77.052736,0101000020E610000099D4D006604353C050C6F8307B734340
14474045,1313,89022740,Shared room,,Washington,,Mount Pleasant,0,0.0,4,1.0,,70.0,,2017-06-12 04:06:44.670705,38.937009,-77.036989,0101000020E6100000F4531C075E4253C0628731E9EF774340
13913849,1313,79754797,Shared room,,Washington,,Glover Park,0,0.0,1,1.0,,70.0,,2017-06-12 04:06:44.655503,38.923565,-77.075067,0101000020E61000009180D1E5CD4453C0795DBF6037764340
18894582,1313,128357203,Shared room,,Washington,,Anacostia,0,0.0,4,1.0,,65.0,,2017-06-12 04:06:44.653303,38.861585,-76.980871,0101000020E610000011A62897C63E53C0B1DCD26A486E4340
13684484,1313,18894668,Shared room,,Washington,,Anacostia,4,4.5,1,1.0,,75.0,,2017-06-12 04:06:44.634494,38.874124,-76.975843,0101000020E6100000F4C13236743E53C00953944BE36F4340
8402248,1313,38292436,Shared room,,Washington,,Catholic University-Brookland,24,4.5,2,1.0,,62.0,,2017-06-12 04:06:44.631806,38.935041,-76.982252,0101000020E61000008F1B7E37DD3E53C0A6B5696CAF774340
16388935,1313,46157216,Shared room,,Washington,,South West,4,5.0,2,1.0,,80.0,,2017-06-12 04:06:44.578935,38.871794,-77.016582,0101000020E6100000F2ECF2AD0F4153C0AD6C1FF2966F4340
4968471,1313,377015,Shared room,,Washington,,Capitol Hill,33,5.0,2,1.0,,69.0,,2017-06-12 04:06:44.512450,38.898007,-77.001127,0101000020E61000002009FB76124053C01F4AB4E4F1724340
18748256,1313,12058549,Shared room,,Washington,,Ledroit Park,0,0.0,1,1.0,,70.0,,2017-06-12 04:06:44.510038,38.918917,-77.013765,0101000020E610000016359886E14053C0855E7F129F754340
9313565,1313,5641429,Shared room,,Washington,,Downtown,0,0.0,1,1.0,,77.0,,2017-06-12 04:06:42.458910,38.900286,-77.017458,0101000020E61000006EC328081E4153C0F98557923C734340
16438473,1313,102159854,Shared room,,Washington,,Capitol Hill,0,0.0,1,1.0,,76.0,,2017-06-12 04:06:42.456790,38.882979,-76.999034,0101000020E6100000E4654D2CF03F53C00307B47405714340
18896504,1313,19143862,Shared room,,Washington,,Ledroit Park,0,0.0,1,1.0,,69.0,,2017-06-12 04:06:42.454688,38.915036,-77.014443,0101000020E6100000FE2955A2EC4053C0D2544FE61F754340
2051534,1313,32067,Shared room,,Washington,,Kalorama,113,5.0,1,1.0,,75.0,,2017-06-12 04:06:42.446910,38.914792,-77.047386,0101000020E610000073124A5F084353C03B527DE717754340
13150613,1313,53093015,Shared room,,Washington,,Columbia Heights,2,0.0,1,1.0,,65.0,,2017-06-12 04:06:42.443799,38.924809,-77.034926,0101000020E6100000EDF1423A3C4253C0F3052D2460764340
19050099,1313,92131371,Shared room,,Washington,,Dupont Circle,0,0.0,2,1.0,,60.0,,2017-06-12 04:06:42.429175,38.912689,-77.03665,0101000020E61000007FD93D79584253C0A0353FFED2744340
17576138,1313,95965731,Shared room,,Washington,,Shaw,11,5.0,2,1.0,,80.0,,2017-06-12 04:06:42.427090,38.910015,-77.010856,0101000020E6100000C93D5DDDB14053C04AEF1B5F7B744340
5570026,1313,28827689,Shared room,,Washington,,Dupont Circle,55,5.0,2,1.0,,80.0,,2017-06-12 04:06:42.424374,38.907376,-77.04478,0101000020E6100000F4E0EEACDD4253C0709692E524744340
8306956,1313,21382994,Shared room,,Washington,,Foggy Bottom,61,5.0,1,1.0,,79.0,,2017-06-12 04:06:42.419359,38.89668,-77.045827,0101000020E610000086915ED4EE4253C0187D0569C6724340
15790423,1313,40651082,Shared room,,Washington,,Foggy Bottom,10,4.0,2,1.0,,70.0,,2017-06-12 04:06:42.416805,38.90339,-77.04981,0101000020E6100000E1404816304353C048C49448A2734340
13110758,1313,50306704,Shared room,,Washington,,Capitol Hill,41,5.0,3,1.0,,68.0,,2017-06-12 04:06:42.337988,38.888845,-76.983803,0101000020E61000003AADDBA0F63E53C0481B47ACC5714340
19072243,1313,32941354,Shared room,,Washington,,Capitol Hill,0,0.0,2,1.0,,70.0,,2017-06-12 04:06:42.335746,38.878341,-77.004522,0101000020E61000003387A4164A4053C033DE567A6D704340
15967943,1313,101418235,Shared room,,Washington,,Mount Pleasant,0,0.0,2,1.0,,40.0,,2017-06-12 04:06:40.278893,38.937164,-77.038012,0101000020E6100000C136E2C96E4253C0897E6DFDF4774340
14946599,1313,56885621,Shared room,,Washington,,Adams Morgan,1,0.0,1,1.0,,54.0,,2017-06-12 04:06:40.264572,38.921201,-77.041356,0101000020E610000093DFA293A54253C0710514EAE9754340
