room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
3732219,1433,280636,Shared room,,Washington,,Columbia Heights,0,0.0,3,1.0,,129.0,,2017-07-11 08:53:56.381540,38.931081,-77.030618,0101000020E6100000D02A33A5F54153C0A77686A92D774340
15087225,1433,90860645,Shared room,,Washington,,Brentwood,6,5.0,4,1.0,,118.0,,2017-07-11 08:53:55.616987,38.908054,-77.003306,0101000020E61000005B785E2A364053C041800C1D3B744340
19634784,1433,138150306,Shared room,,Washington,,South West,1,0.0,4,1.0,,84.0,,2017-07-11 08:53:53.434225,38.884121,-77.019518,0101000020E6100000BCEB6CC83F4153C0795A7EE02A714340
18547685,1433,26180779,Shared room,,Washington,,Shaw,11,5.0,2,1.0,,74.0,,2017-07-11 08:53:49.654605,38.910593,-77.023461,0101000020E6100000D0EE9062804153C0B77BB94F8E744340
13878076,1433,2387207,Shared room,,Washington,,Cleveland Park,2,0.0,2,1.0,,50.0,,2017-07-11 08:53:48.721169,38.935485,-77.059807,0101000020E61000009A44BDE0D34353C00473F4F8BD774340
17160158,1433,21831483,Shared room,,Washington,,Chevy Chase,15,5.0,2,1.0,,53.0,,2017-07-11 08:53:47.701456,38.957163,-77.072466,0101000020E61000009B046F48A34453C07BF83251847A4340
1646405,1433,4086380,Shared room,,Washington,,Adams Morgan,116,4.5,2,1.0,,47.0,,2017-07-11 08:53:47.698799,38.924803,-77.04292,0101000020E610000009168733BF4253C0101FD8F15F764340
7896911,1433,12895831,Shared room,,Washington,,Dupont Circle,1,0.0,2,1.0,,25.0,,2017-07-11 08:53:46.105975,38.916321,-77.041691,0101000020E61000006762BA10AB4253C0ABD1AB014A754340
13563326,1433,64448197,Shared room,,Washington,,Foggy Bottom,1,0.0,2,1.0,,32.0,,2017-07-11 08:53:46.103311,38.896818,-77.052934,0101000020E61000002CB64945634353C0693BA6EECA724340
17072434,1433,14845422,Shared room,,Washington,,Logan Circle,15,4.0,2,1.0,,30.0,,2017-07-11 08:53:46.099201,38.911658,-77.034625,0101000020E6100000F0A7C64B374253C082919735B1744340
15834499,1433,32848612,Shared room,,Washington,,Dupont Circle,0,0.0,4,1.0,,500.0,,2017-07-11 08:53:45.316887,38.909118,-77.046943,0101000020E6100000AC71361D014353C03B1A87FA5D744340
8404684,1433,39026415,Shared room,,Washington,,Catholic University-Brookland,0,0.0,4,1.0,,480.0,,2017-07-11 08:53:45.313705,38.928188,-77.005823,0101000020E610000023A46E675F4053C0134548DDCE764340
16396028,1433,14136125,Shared room,,Washington,,Capitol Hill,0,0.0,6,1.0,,400.0,,2017-07-11 08:53:45.308510,38.883335,-77.003745,0101000020E61000008121AB5B3D4053C0C2340C1F11714340
16689918,1433,110509429,Shared room,,Washington,,Foggy Bottom,0,0.0,4,1.0,,250.0,,2017-07-11 08:53:44.491923,38.898468,-77.051849,0101000020E610000024D5777E514353C05340DAFF00734340
16381884,1433,4899923,Shared room,,Washington,,Catholic University-Brookland,1,0.0,4,1.0,,200.0,,2017-07-11 08:53:43.121847,38.938313,-77.019701,0101000020E6100000B4ACFBC7424153C0B134F0A31A784340
16846359,1433,41554129,Shared room,,Washington,,Shaw,0,0.0,2,1.0,,150.0,,2017-07-11 08:53:42.253015,38.911142,-77.017533,0101000020E61000007366BB421F4153C08A01124DA0744340
18094159,1433,124619252,Shared room,,Washington,,Capitol Hill,1,0.0,1,1.0,,150.0,,2017-07-11 08:53:42.249664,38.884128,-76.98432,0101000020E61000001E335019FF3E53C02BBD361B2B714340
15495164,1433,27353,Shared room,,Washington,,Catholic University-Brookland,0,0.0,4,1.0,,125.0,,2017-07-11 08:53:41.460390,38.935953,-76.982421,0101000020E6100000D57954FCDF3E53C0EACBD24ECD774340
11574642,1433,27353,Shared room,,Washington,,Anacostia,25,4.0,16,1.0,,125.0,,2017-07-11 08:53:41.453278,38.876157,-76.963657,0101000020E6100000EFE3688EAC3D53C0AB949EE925704340
12902969,1433,16459170,Shared room,,Washington,,Capitol Hill,0,0.0,1,1.0,,140.0,,2017-07-11 08:53:41.451008,38.901511,-77.002567,0101000020E61000002043C70E2A4053C0FCFD62B664734340
15758952,1433,51641568,Shared room,,Washington,,Ledroit Park,3,5.0,4,1.0,,110.0,,2017-07-11 08:53:39.935610,38.917867,-77.016281,0101000020E6100000F5A276BF0A4153C0F08975AA7C754340
16694573,1433,4143356,Shared room,,Washington,,Capitol Hill,0,0.0,2,1.0,,120.0,,2017-07-11 08:53:39.931682,38.899642,-77.003512,0101000020E61000003049658A394053C0D40D147827734340
16710786,1433,109813481,Shared room,,Washington,,Stadium-Armory,10,5.0,3,1.0,,115.0,,2017-07-11 08:53:39.928541,38.8964,-76.983045,0101000020E6100000C45F9335EA3E53C03411363CBD724340
13057484,1433,24744291,Shared room,,Washington,,Anacostia,0,0.0,2,1.0,,85.0,,2017-07-11 08:53:39.145990,38.823408,-77.010775,0101000020E61000005227A089B04053C0E4A1EF6E65694340
14767042,1433,71766356,Shared room,,Washington,,Chevy Chase,1,0.0,2,1.0,,99.0,,2017-07-11 08:53:39.140867,38.952815,-77.070473,0101000020E610000011902FA1824453C0B21188D7F5794340
16388935,1433,46157216,Shared room,,Washington,,South West,5,4.5,2,1.0,,80.0,,2017-07-11 08:53:39.129185,38.871794,-77.016582,0101000020E6100000F2ECF2AD0F4153C0AD6C1FF2966F4340
2053406,1433,8713526,Shared room,,Washington,,Adams Morgan,1,0.0,1,1.0,,100.0,,2017-07-11 08:53:39.123865,38.920609,-77.039656,0101000020E6100000C5C551B9894253C09EB30584D6754340
