room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
17160158,21831483,Shared room,,Chevy Chase,1,0.0,3,1.0,65.0,,38.957163,-77.072466,2017-03-13 10:50:24.558002
11873129,61362641,Shared room,,Brentwood,45,5.0,4,1.0,108.0,,38.911577,-77.003882,2017-03-13 10:50:17.789113
8402248,38292436,Shared room,,Catholic University-Brookland,21,4.5,2,1.0,90.0,,38.935041,-76.982252,2017-03-13 10:50:15.380586
16643518,109983348,Shared room,,Brentwood,1,0.0,6,1.0,92.0,,38.929038,-76.975668,2017-03-13 10:50:15.375302
4519926,23433459,Shared room,,Columbia Heights,65,4.5,2,1.0,65.0,,38.925131,-77.032026,2017-03-13 10:50:11.723712
13113107,17716726,Shared room,,South West,1,0.0,3,1.0,50.0,,38.874198,-77.018586,2017-03-13 10:50:10.500173
11342617,37920286,Shared room,,Shaw,9,3.5,6,1.0,59.0,,38.911359,-77.022705,2017-03-13 10:50:10.496107
11338519,37920286,Shared room,,Shaw,31,4.0,8,1.0,49.0,,38.912784,-77.022653,2017-03-13 10:50:09.151828
15151751,96118710,Shared room,,Stadium-Armory,2,0.0,2,1.0,45.0,,38.895744,-76.976982,2017-03-13 10:50:09.143916
16619240,109721676,Shared room,,Columbia Heights,1,0.0,2,1.0,49.0,,38.927324,-77.026806,2017-03-13 10:50:09.141563
16766151,19956695,Shared room,,Glover Park,0,0.0,2,1.0,50.0,,38.92555,-77.072813,2017-03-13 10:50:09.137902
15374411,93018506,Shared room,,Anacostia,1,0.0,2,1.0,23.0,,38.879476,-76.930986,2017-03-13 10:50:07.706571
15984634,27353,Shared room,,Anacostia,9,4.0,16,1.0,22.0,,38.876514,-76.964267,2017-03-13 10:50:07.702138
10416451,27353,Shared room,,Anacostia,27,4.0,16,1.0,30.0,,38.876158,-76.9628,2017-03-13 10:50:07.697403
14709310,60894790,Shared room,,Capitol Hill,4,4.5,2,1.0,40.0,,38.903154,-76.985577,2017-03-13 10:50:07.694825
7896911,12895831,Shared room,,Dupont Circle,1,0.0,2,1.0,25.0,,38.916321,-77.041691,2017-03-13 10:50:07.685029
15834499,32848612,Shared room,,Dupont Circle,0,0.0,4,1.0,500.0,,38.909118,-77.046943,2017-03-13 10:50:06.486811
8404684,39026415,Shared room,,Catholic University-Brookland,0,0.0,4,1.0,480.0,,38.928188,-77.005823,2017-03-13 10:50:06.479157
16396028,14136125,Shared room,,Capitol Hill,0,0.0,6,1.0,400.0,,38.883335,-77.003745,2017-03-13 10:50:06.476704
16846359,41554129,Shared room,,Shaw,0,0.0,2,1.0,500.0,,38.911142,-77.017533,2017-03-13 10:50:06.471935
16916110,3662033,Shared room,,Columbia Heights,1,0.0,14,1.0,450.0,,38.924071,-77.035521,2017-03-13 10:50:06.466854
16689918,110509429,Shared room,,Foggy Bottom,0,0.0,4,1.0,250.0,,38.898468,-77.051849,2017-03-13 10:50:05.492323
4968471,377015,Shared room,,Capitol Hill,32,5.0,2,1.0,199.0,,38.898007,-77.001127,2017-03-13 10:50:04.190264
16381884,4899923,Shared room,,Catholic University-Brookland,1,0.0,4,1.0,200.0,,38.938313,-77.019701,2017-03-13 10:50:04.184878
16555333,62665443,Shared room,,Foggy Bottom,0,0.0,2,1.0,200.0,,38.89926,-77.052699,2017-03-13 10:50:04.182690
16173297,104001316,Shared room,,Dupont Circle,0,0.0,2,1.0,150.0,,38.912323,-77.03887,2017-03-13 10:50:02.827296
